author.name,date,text,geo.coordinates.coordinates,geo.geo.bbox,geo.name,hate_pred,emotion_pred,borough,latitude,longitude
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-10-01 10:03:53+00:00,Men however they identify do not experience the menopause.,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anticipation,Camden Town,51.5423045,-0.1395604
mtrinh,2022-10-01 14:49:06+00:00,#WhiteHouse confirms #China stopped coop on anti-drug measures https://t.co/DDHuneLBq4 via @scmpnews\n\nRemember #opiumwars? #eightnationalliance\nChina should flood #west with whatever #drugs in fashion now &amp; make tons £€$\n#WesternHypocracy,,"[-0.074547, 51.414087, 0.038567, 51.494127]",Lewisham,racism,anticipation,Lewisham,51.4624292,-0.0101787
Sadia Mahmud Walji,2022-10-01 20:43:14+00:00,"The Husband will always cheat for Sex, the new relationship will always meaningless and worthless for him !period !",,"[-0.259465, 51.417277, -0.127974, 51.486036]",Wandsworth,sexism,sadness,Wandsworth,51.4570271,-0.1932607
Tax BOSS ⚜️,2022-10-02 08:22:54+00:00,I think men will forever watch cartoons,,"[-0.112442, 51.5068, -0.0733794, 51.522161]",City of London,sexism,joy,City of London,51.5156177,-0.0919983
Stephen Champion,2022-10-02 09:35:25+00:00,"@RedpathAARON @_charleylouisew People believe that women aren’t good enough to drive F1 cars which is total BS, they’re just not given a chance.",,"[-0.259465, 51.417277, -0.127974, 51.486036]",Wandsworth,sexism,anger,Wandsworth,51.4570271,-0.1932607
Waqas Ahmed Malik,2022-10-02 11:54:19+00:00,Damned bitches hijackedvmy account made me follow the dumbest bitch I've ever seen unimaginable utter nonsense,,"[-0.457966, 51.420633, -0.243419, 51.502851]",Hounslow,sexism,anger,Hounslow,51.4686132,-0.3613471
"Rahel Bailie - Content, Seriously",2022-10-02 13:04:50+00:00,"@AlixFox @LondonMarathon Remember, most men have no fashion sense whatsoever.",,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,sadness,Camberwell,51.4745706,-0.0925416
Nathan Benaim AFC35Y,2022-10-02 16:00:46+00:00,@GoonerBlock Dirty yid scum ( I can use that word because I'm Jewish) maybe the FA might look at this and give the ugly p...k the relevant punishment..,,"[-0.5086841, 51.4551164, -0.3760375, 51.619006]",Hillingdon,religion,anger,Hillingdon,51.542519299999995,-0.44833493117949663
teddy BLT,2022-10-02 17:47:13+00:00,what a retard https://t.co/81mNDJcM9C,,"[-0.254563, 51.463873, -0.177653, 51.532901]",Hammersmith,disability,anger,Hammersmith,51.4920377,-0.2236401
DemzzyTooAnti 🕺🏾💔,2022-10-02 22:20:43+00:00,Some girls swear they have good pum pum until they take off their panties and their pussy looks like bbl,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,disgust,Camberwell,51.4745706,-0.0925416
